"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central African Republic","CAF","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1400804519653","9.92337036132813","","","","","","","","8.94931983947754","9.93076992034912","","9.21473026275635","12.0280199050903","12.0644598007202","9.68047046661377","10.0542402267456","9.86948013305664","7.8600001335144","7.83692979812622","6.47537994384766","7.8254599571228","","","","","","","","","",
"Canada","CAN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","15.5789003372192","15.5318098068237","14.7749700546265","14.0908002853394","13.2368803024292","12.6831998825073","13.4558296203613","13.5385398864746","13.569769859314","13.1906204223633","14.2637996673584","13.1161403656006","14.6234798431396","12.9344301223755","12.8636302947998","","","12.6395797729492","12.7418804168701","12.9826002120972","12.2122402191162","12.1478996276855","","","12.1780700683594","","12.3285598754883","12.0099601745605","12.4836397171021","12.3359603881836","12.2191400527954","","","","","","","","","",
"Central Europe and the Baltics","CEB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7286500930786","","11.2788095474243","10.1390151977539","10.3236103057861","11.1432795524598","10.9223499298096","11.6443796157837","11.0059003829956","12.0725202560425","12.6654100418091","11.2671499252319","11.6162204742432","11.0764799118042","11.064640045166","10.9848604202271","10.9589447975159","9.99503993988037","11.2743196487427","11.5479803085327","11.7452096939087","11.0591096878052","","","",
"Switzerland","CHE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","15.7251796722412","15.652569770813","15.8646202087402","15.5848903656006","16.2934398651123","15.9488496780396","17.3263092041016","17.31715965271","","16.317590713501","15.6891603469849","15.4774303436279","15.4445600509644","","14.7021503448486","14.4668798446655","14.6406497955322","15.4277095794678","15.3115196228027","16.3348903656006","16.2223091125488","15.8206996917725","15.9700498580933","15.6751298904419","16.0096397399902","15.6436195373535","15.3908796310425","15.5535001754761","15.6438703536987","15.2089996337891","15.461799621582","15.5288496017456","15.5125303268433","15.577449798584","","","",
"Channel Islands","CHI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5188302993774","14.1324195861816","15.0246200561523","15.7599897384644","14.5041399002075","15.1703701019287","15.6522197723389","16.4279098510742","","17.4505996704102","17.6372203826904","17.0210494995117","16.199089050293","16.2312793731689","16.746410369873","17.4011306762695","17.0356101989746","17.8435592651367","17.7497406005859","","19.6456909179688","19.9207191467285","19.5940494537354","21.1554794311523","21.3115501403809","","","",
"China","CHN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","9.5632495880127","9.76224040985107","10.6873798370361","10.4390096664429","9.46158027648926","10.7439403533936","","","","12.2905302047729","14.7739496231079","20.0649394989014","18.717170715332","19.5053405761719","","14.5514097213745","12.6315603256226","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2201499938965","18.8147506713867","21.6711807250977","20.8069496154785","23.2020301818848","22.5923004150391","22.648229598999","22.1071605682373","21.8456897735596","20.0178909301758","20.755880355835","21.5269107818604","22.1904697418213","22.7727508544922","22.4268608093262","20.8587608337402","21.5747299194336","21.7667808532715","21.1732196807861","22.5162105560303","20.6803302764893","18.3316707611084","","",
"Cameroon","CMR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6836996078491","15.7339401245117","","21.4420204162598","20.8471202850342","21.3776092529297","20.312650680542","21.3793392181396","15.7006101608276","19.7797908782959","18.7538890838623","14.8677701950073","15.1762199401855","13.8249502182007","12.9292497634888","13.243989944458","12.6946897506714","15.9116201400757","16.8831596374512","","",
"Congo, Dem. Rep.","COD","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.57849979400635","","","16.1747398376465","10.5539197921753","11.7383699417114","14.6354198455811","14.006420135498","","","",
